#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              ElecIon             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.9337924938e+01    8.6081883495e+02   -5.8893185346e+01    2.9555260409e+01    1.2179676937e+01    3.4507764181e+00   -7.4523638702e+01    3.2767900000e+05    7.7931408286e+00    9.9669946918e-01
         1   -2.9337683555e+01    8.6080531241e+02   -5.8690375978e+01    2.9352692424e+01    1.2148930466e+01    3.4507764181e+00   -7.4290082862e+01    3.2767100000e+05    8.4604262561e+00    9.9664755411e-01
         2   -2.9338948894e+01    8.6088026291e+02   -5.8885130039e+01    2.9546181145e+01    1.2176703102e+01    3.4507764181e+00   -7.4512609559e+01    3.2768600000e+05    8.0072157234e+00    9.9668243165e-01
         3   -2.9339001429e+01    8.6088085301e+02   -5.9017181341e+01    2.9678179912e+01    1.2216159356e+01    3.4507764181e+00   -7.4684117115e+01    3.2710500000e+05    8.3998241425e+00    9.9665787023e-01
         4   -2.9338947131e+01    8.6087619728e+02   -5.9122402404e+01    2.9783455273e+01    1.2201122390e+01    3.4507764181e+00   -7.4774301212e+01    3.2779600000e+05    7.1340360045e+00    9.9663155890e-01
         5   -2.9337006794e+01    8.6075974841e+02   -5.9005524624e+01    2.9668517830e+01    1.2211216983e+01    3.4507764181e+00   -7.4667518025e+01    3.2754200000e+05    7.1217997223e+00    9.9669820900e-01
         6   -2.9336255524e+01    8.6072106637e+02   -5.8865730292e+01    2.9529474767e+01    1.2153505218e+01    3.4507764181e+00   -7.4470011927e+01    3.2723100000e+05    8.4727797359e+00    9.9667619516e-01
         7   -2.9335059942e+01    8.6064541732e+02   -5.8556883339e+01    2.9221823397e+01    1.2159824407e+01    3.4507764181e+00   -7.4167484164e+01    3.2718500000e+05    8.6358440518e+00    9.9668070562e-01
         8   -2.9338233133e+01    8.6083536580e+02   -5.8929902376e+01    2.9591669243e+01    1.2159595641e+01    3.4507764181e+00   -7.4540274435e+01    3.2724400000e+05    7.3773348182e+00    9.9669626381e-01
         9   -2.9340122195e+01    8.6094457742e+02   -5.8873469000e+01    2.9533346805e+01    1.2145150729e+01    3.4507764181e+00   -7.4469396147e+01    3.2827400000e+05    7.2892757207e+00    9.9664862651e-01
        10   -2.9341659140e+01    8.6103670674e+02   -5.8746295769e+01    2.9404636629e+01    1.2141799024e+01    3.4507764181e+00   -7.4338871211e+01    3.2876000000e+05    8.2130577415e+00    9.9669477967e-01
        11   -2.9340416925e+01    8.6096813040e+02   -5.8968478022e+01    2.9628061097e+01    1.2117962234e+01    3.4507764181e+00   -7.4537216674e+01    3.2868900000e+05    7.1776366234e+00    9.9666852942e-01
        12   -2.9338802664e+01    8.6086864404e+02   -5.8778700119e+01    2.9439897455e+01    1.2156238526e+01    3.4507764181e+00   -7.4385715063e+01    3.2895500000e+05    8.1250951141e+00    9.9676401552e-01
        13   -2.9335834680e+01    8.6070379976e+02   -5.8846285241e+01    2.9510450561e+01    1.2134543986e+01    3.4507764181e+00   -7.4431605646e+01    3.2810300000e+05    8.0065249056e+00    9.9666853556e-01
        14   -2.9337636138e+01    8.6080056336e+02   -5.8873663200e+01    2.9536027062e+01    1.2114345302e+01    3.4507764181e+00   -7.4438784920e+01    3.2701900000e+05    8.2602884322e+00    9.9664858738e-01
        15   -2.9336309123e+01    8.6072021538e+02   -5.8553299182e+01    2.9216990059e+01    1.2124056365e+01    3.4507764181e+00   -7.4128131964e+01    3.2725700000e+05    7.6686681509e+00    9.9671470586e-01
        16   -2.9336548011e+01    8.6073591675e+02   -5.8827020631e+01    2.9490472620e+01    1.2147116313e+01    3.4507764181e+00   -7.4424913362e+01    3.2740700000e+05    7.6635664850e+00    9.9664646552e-01
        17   -2.9335460810e+01    8.6067203703e+02   -5.8518617342e+01    2.9183156533e+01    1.2118398013e+01    3.4507764181e+00   -7.4087791773e+01    3.2697500000e+05    8.6077889055e+00    9.9674980197e-01
        18   -2.9337950857e+01    8.6081508351e+02   -5.8525441656e+01    2.9187490799e+01    1.2129148706e+01    3.4507764181e+00   -7.4105366780e+01    3.2694500000e+05    6.7666509300e+00    9.9662560220e-01
        19   -2.9338361758e+01    8.6084392907e+02   -5.8572008367e+01    2.9233646610e+01    1.2130425081e+01    3.4507764181e+00   -7.4153209867e+01    3.2598300000e+05    6.8120893836e+00    9.9667527096e-01
        20   -2.9338505472e+01    8.6086125788e+02   -5.8802986549e+01    2.9464481078e+01    1.2173541643e+01    3.4507764181e+00   -7.4427304610e+01    3.2518600000e+05    6.7193999738e+00    9.9666113445e-01
        21   -2.9338219938e+01    8.6083874820e+02   -5.8568535066e+01    2.9230315128e+01    1.2133268744e+01    3.4507764181e+00   -7.4152580228e+01    3.2498400000e+05    8.1370397359e+00    9.9665886888e-01
        22   -2.9338788218e+01    8.6086330293e+02   -5.8589305958e+01    2.9250517740e+01    1.2114994635e+01    3.4507764181e+00   -7.4155077011e+01    3.2467100000e+05    8.0377230793e+00    9.9669881046e-01
        23   -2.9338045779e+01    8.6082905342e+02   -5.8633176522e+01    2.9295130743e+01    1.2122391031e+01    3.4507764181e+00   -7.4206343971e+01    3.2548300000e+05    7.2776235789e+00    9.9669640579e-01
        24   -2.9333811353e+01    8.6057790573e+02   -5.8460566351e+01    2.9126754998e+01    1.2117706073e+01    3.4507764181e+00   -7.4029048842e+01    3.2649200000e+05    6.1996939629e+00    9.9670233905e-01
        25   -2.9335146039e+01    8.6065303094e+02   -5.8782686518e+01    2.9447540479e+01    1.2115008268e+01    3.4507764181e+00   -7.4348471205e+01    3.2638300000e+05    6.0896198750e+00    9.9662514438e-01
        26   -2.9333363766e+01    8.6054482908e+02   -5.8618205799e+01    2.9284842033e+01    1.2127404503e+01    3.4507764181e+00   -7.4196386720e+01    3.2577300000e+05    6.1202919036e+00    9.9670025318e-01
        27   -2.9336829359e+01    8.6075414272e+02   -5.8413482328e+01    2.9076652969e+01    1.2123002957e+01    3.4507764181e+00   -7.3987261703e+01    3.2503500000e+05    6.0781226903e+00    9.9666023196e-01
        28   -2.9335019773e+01    8.6065366974e+02   -5.8469755079e+01    2.9134735306e+01    1.2115253843e+01    3.4507764181e+00   -7.4035785340e+01    3.2413900000e+05    6.0820011348e+00    9.9667080466e-01
        29   -2.9336449250e+01    8.6073002863e+02   -5.8852565904e+01    2.9516116654e+01    1.2156071485e+01    3.4507764181e+00   -7.4459413807e+01    3.2457700000e+05    6.0393682569e+00    9.9668631276e-01
        30   -2.9336005115e+01    8.6070780503e+02   -5.9091381654e+01    2.9755376540e+01    1.2155631748e+01    3.4507764181e+00   -7.4697789821e+01    3.2569300000e+05    6.6133312583e+00    9.9671234631e-01
        31   -2.9337313754e+01    8.6080039431e+02   -5.8930995539e+01    2.9593681784e+01    1.2146559538e+01    3.4507764181e+00   -7.4528331495e+01    3.2689400000e+05    7.8786506206e+00    9.9673002963e-01
        32   -2.9337456316e+01    8.6079798944e+02   -5.8967282831e+01    2.9629826516e+01    1.2147640485e+01    3.4507764181e+00   -7.4565699734e+01    3.2830600000e+05    7.2959186137e+00    9.9662603178e-01
        33   -2.9335146011e+01    8.6065444153e+02   -5.8582039145e+01    2.9246893133e+01    1.2102708476e+01    3.4507764181e+00   -7.4135524039e+01    3.2816600000e+05    6.8349285424e+00    9.9665674889e-01
        34   -2.9337447747e+01    8.6078646313e+02   -5.8506918810e+01    2.9169471064e+01    1.2125223047e+01    3.4507764181e+00   -7.4082918275e+01    3.2888400000e+05    8.4860312790e+00    9.9671927586e-01
        35   -2.9337301308e+01    8.6077946619e+02   -5.8919993551e+01    2.9582692243e+01    1.2127536149e+01    3.4507764181e+00   -7.4498306118e+01    3.2757300000e+05    7.7400011569e+00    9.9672732982e-01
        36   -2.9338160946e+01    8.6084634237e+02   -5.8236909450e+01    2.8898748504e+01    1.2114783940e+01    3.4507764181e+00   -7.3802469808e+01    3.2749800000e+05    8.5467688143e+00    9.9672383374e-01
