#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5039389833e+01    2.0302826659e+03   -8.2522564312e+01    3.7483174479e+01   -1.1152460354e+01   -5.1102678690e+01   -2.3271029481e+01    3.0036042136e+00   -1.0864576555e+01    1.0296874312e-01    2.0480000000e+03    7.5542722701e-01    9.9020385742e-01
         1   -4.5058467614e+01    2.0316733341e+03   -8.2634574715e+01    3.7576107102e+01   -1.1160057454e+01   -5.1102678690e+01   -2.3079022681e+01    2.7071841108e+00   -1.0876486963e+01    1.0296874312e-01    2.0540000000e+03    7.5175666204e-01    9.9023437500e-01
         2   -4.5085496448e+01    2.0340982558e+03   -8.2446132222e+01    3.7360635774e+01   -1.1108320738e+01   -5.1102678690e+01   -2.3207553724e+01    2.9724209303e+00   -1.0822450775e+01    1.0296874312e-01    2.0490000000e+03    7.5323299703e-01    9.9041504382e-01
         3   -4.5085280963e+01    2.0340311111e+03   -8.2484177572e+01    3.7398896610e+01   -1.1077441558e+01   -5.1102678690e+01   -2.3114434127e+01    2.8103768032e+00   -1.0794546444e+01    1.0296874312e-01    2.0540000000e+03    7.4986677093e-01    9.9072718399e-01
         4   -4.5097055552e+01    2.0351468027e+03   -8.2422828621e+01    3.7325773069e+01   -1.1085538971e+01   -5.1102678690e+01   -2.2930546794e+01    2.6959358349e+00   -1.0806753071e+01    1.0296874312e-01    2.0450000000e+03    7.5847793801e-01    9.8950219085e-01
         5   -4.5134276990e+01    2.0384958154e+03   -8.2650273273e+01    3.7515996283e+01   -1.1107399403e+01   -5.1102678690e+01   -2.3033219906e+01    2.5930247271e+00   -1.0829366683e+01    1.0296874312e-01    2.0390000000e+03    7.5153625908e-01    9.9064792176e-01
         6   -4.5145057737e+01    2.0395452161e+03   -8.2762821360e+01    3.7617763623e+01   -1.1148525848e+01   -5.1102678690e+01   -2.3176165018e+01    2.6645481966e+00   -1.0872944115e+01    1.0296874312e-01    2.0530000000e+03    7.4537129898e-01    9.9101888180e-01
         7   -4.5156185244e+01    2.0405634534e+03   -8.2817960048e+01    3.7661774805e+01   -1.1103551486e+01   -5.1102678690e+01   -2.3236003842e+01    2.6242739696e+00   -1.0825881835e+01    1.0296874312e-01    2.0490000000e+03    7.4953943701e-01    9.8999939113e-01
         8   -4.5113921129e+01    2.0366865875e+03   -8.2921496884e+01    3.7807575756e+01   -1.1073576972e+01   -5.1102678690e+01   -2.3348614570e+01    2.6033733479e+00   -1.0800885426e+01    1.0296874312e-01    2.0550000000e+03    7.4177144899e-01    9.9055941923e-01
         9   -4.5113435267e+01    2.0367115103e+03   -8.2753515714e+01    3.7640080448e+01   -1.1121857488e+01   -5.1102678690e+01   -2.3157670286e+01    2.6286907506e+00   -1.0851350950e+01    1.0296874312e-01    2.0500000000e+03    7.5049065601e-01    9.8970498783e-01
        10   -4.5117150001e+01    2.0370353412e+03   -8.2682382512e+01    3.7565232511e+01   -1.1122794657e+01   -5.1102678690e+01   -2.3159472266e+01    2.7025631004e+00   -1.0853166278e+01    1.0296874312e-01    2.0500000000e+03    7.4509164505e-01    9.9036585366e-01
        11   -4.5145688435e+01    2.0396433905e+03   -8.2603867947e+01    3.7458179512e+01   -1.1140811306e+01   -5.1102678690e+01   -2.3062791432e+01    2.7024134817e+00   -1.0870013578e+01    1.0296874312e-01    2.0550000000e+03    7.4810290500e-01    9.8969512195e-01
        12   -4.5116970051e+01    2.0370126061e+03   -8.2787628212e+01    3.7670658161e+01   -1.1158358975e+01   -5.1102678690e+01   -2.3117997790e+01    2.5914072446e+00   -1.0885428998e+01    1.0296874312e-01    2.0500000000e+03    7.6397640910e-01    9.9057177616e-01
        13   -4.5093825002e+01    2.0348909076e+03   -8.2727425000e+01    3.7633599998e+01   -1.1125073347e+01   -5.1102678690e+01   -2.3054973729e+01    2.5553007655e+00   -1.0856427642e+01    1.0296874312e-01    2.0490000000e+03    7.5493255293e-01    9.9013719512e-01
        14   -4.5120574906e+01    2.0374107540e+03   -8.2822091106e+01    3.7701516201e+01   -1.1100608991e+01   -5.1102678690e+01   -2.3316210409e+01    2.6974069842e+00   -1.0834787796e+01    1.0296874312e-01    2.0380000000e+03    7.5345200405e-01    9.8981210347e-01
        15   -4.5108959321e+01    2.0361422503e+03   -8.2721968876e+01    3.7613009555e+01   -1.1119902906e+01   -5.1102678690e+01   -2.3216222506e+01    2.7168352258e+00   -1.0851331398e+01    1.0296874312e-01    2.0500000000e+03    7.5334320893e-01    9.8981844946e-01
        16   -4.5138672500e+01    2.0387771157e+03   -8.2661840650e+01    3.7523168150e+01   -1.1125866595e+01   -5.1102678690e+01   -2.3176321088e+01    2.7430257234e+00   -1.0860256592e+01    1.0296874312e-01    2.0420000000e+03    7.5023358199e-01    9.9004573171e-01
        17   -4.5131742514e+01    2.0383555480e+03   -8.2681186472e+01    3.7549443958e+01   -1.1110201006e+01   -5.1102678690e+01   -2.3155207931e+01    2.6869011547e+00   -1.0844503131e+01    1.0296874312e-01    2.0490000000e+03    7.4287873297e-01    9.9049644956e-01
        18   -4.5106134709e+01    2.0360410042e+03   -8.2938277223e+01    3.7832142514e+01   -1.1127138009e+01   -5.1102678690e+01   -2.3417134113e+01    2.7086735894e+00   -1.0861351102e+01    1.0296874312e-01    2.0470000000e+03    7.4861552904e-01    9.9058992191e-01
        19   -4.5138606757e+01    2.0391025762e+03   -8.2686267042e+01    3.7547660285e+01   -1.1131130144e+01   -5.1102678690e+01   -2.3346485150e+01    2.8940269431e+00   -1.0861766579e+01    1.0296874312e-01    2.0500000000e+03    7.5551928196e-01    9.8995481192e-01
