# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -4.5927910603e+01    1.3343440597e+00    2.0870000000e+03    2.0830000000e+03    0.0000000000e+00   -4.5959211681e+01    9.9292244269e-01    9.9519923188e-01
         1   -4.5912521092e+01    1.4067120959e+00    2.0442640059e+03    2.0830000000e+03    0.0000000000e+00   -4.7814302695e+01    9.9273372921e-01    9.7887662026e-01
         2   -4.5961927116e+01    1.3886017434e+00    2.0485263616e+03    2.0500000000e+03    0.0000000000e+00   -4.6010129689e+01    9.9351323024e-01    9.9560975610e-01
         3   -4.5913476463e+01    1.3553197611e+00    2.0475388279e+03    2.0520000000e+03    0.0000000000e+00   -4.6157049129e+01    9.9339192140e-01    9.9561403509e-01
         4   -4.5922734395e+01    1.3686471321e+00    2.0481217842e+03    2.0550000000e+03    0.0000000000e+00   -4.6254690540e+01    9.9323467757e-01    9.9318734793e-01
         5   -4.5920679311e+01    1.4238518038e+00    2.0479361781e+03    2.0450000000e+03    0.0000000000e+00   -4.5776142627e+01    9.9393031380e-01    9.9462102689e-01
         6   -4.5937417988e+01    1.4471180230e+00    2.0481339710e+03    2.0430000000e+03    0.0000000000e+00   -4.5676240177e+01    9.9316797740e-01    9.9853157122e-01
         7   -4.5960949188e+01    1.6524772189e+00    2.0480000850e+03    2.0500000000e+03    0.0000000000e+00   -4.6035026585e+01    9.9402015931e-01    9.9658536585e-01
         8   -4.5949789480e+01    1.3616074167e+00    2.0477106667e+03    2.0520000000e+03    0.0000000000e+00   -4.6156071201e+01    9.9345656477e-01    9.9658869396e-01
         9   -4.5938374450e+01    1.2816402985e+00    2.0478584511e+03    2.0480000000e+03    0.0000000000e+00   -4.5949789480e+01    9.9322611330e-01    9.9707031250e-01
        10   -4.5924980694e+01    1.2228775153e+00    2.0478092394e+03    2.0460000000e+03    0.0000000000e+00   -4.5840670485e+01    9.9282344105e-01    9.9755620723e-01
        11   -4.5922635958e+01    1.3681828207e+00    2.0479401878e+03    2.0480000000e+03    0.0000000000e+00   -4.5924980694e+01    9.9412094265e-01    9.9609375000e-01
        12   -4.5946859711e+01    1.2588517059e+00    2.0482695072e+03    2.0490000000e+03    0.0000000000e+00   -4.5971452166e+01    9.9406422196e-01    9.9804782821e-01
        13   -4.5965714362e+01    1.3530235242e+00    2.0482432921e+03    2.0540000000e+03    0.0000000000e+00   -4.6239400144e+01    9.9293908388e-01    9.9172346641e-01
        14   -4.5961893106e+01    1.2991357807e+00    2.0480049986e+03    2.0430000000e+03    0.0000000000e+00   -4.5721275228e+01    9.9396690391e-01    9.9559471366e-01
        15   -4.5957595337e+01    1.3359242912e+00    2.0480066582e+03    2.0470000000e+03    0.0000000000e+00   -4.5913053056e+01    9.9426091237e-01    9.9755740107e-01
        16   -4.5967233428e+01    1.3225406211e+00    2.0480442556e+03    2.0470000000e+03    0.0000000000e+00   -4.5908755287e+01    9.9381888463e-01    9.9706888129e-01
        17   -4.5987645624e+01    1.4528074180e+00    2.0482200553e+03    2.0520000000e+03    0.0000000000e+00   -4.6162355441e+01    9.9339548688e-01    9.9610136452e-01
        18   -4.5978345260e+01    1.2497225428e+00    2.0478305578e+03    2.0490000000e+03    0.0000000000e+00   -4.6036461832e+01    9.9283830875e-01    9.9511957052e-01
