#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -4.4957083413e+01    2.0226394900e+03   -8.2497950896e+01    3.7540867484e+01   -1.1370010116e+01   -5.1102678690e+01   -2.2374172502e+01    2.3489104127e+00   -1.1094971698e+01    1.0155957448e-01    2.0800000000e+02    1.5810499463e-01    7.1792367788e-01
         1   -4.4964922176e+01    2.0230606705e+03   -8.2306938535e+01    3.7342016358e+01   -1.1305943252e+01   -5.1102678690e+01   -2.2882064682e+01    2.9837480892e+00   -1.1034301496e+01    1.0155957448e-01    2.0800000000e+02    1.6413268491e-01    7.1787860577e-01
         2   -4.5024212290e+01    2.0285012740e+03   -8.2729845686e+01    3.7705633396e+01   -1.0855009004e+01   -5.1102678690e+01   -2.3748680989e+01    2.9765229975e+00   -1.0569971867e+01    1.0155957448e-01    2.0800000000e+02    1.6133482482e-01    7.1634615385e-01
         3   -4.4916880263e+01    2.0188003507e+03   -8.2507369856e+01    3.7590489593e+01   -1.1412412568e+01   -5.1102678690e+01   -2.2730411671e+01    2.7381330728e+00   -1.1155121881e+01    1.0155957448e-01    2.0800000000e+02    1.6123502551e-01    7.1539963942e-01
         4   -4.4978102457e+01    2.0243825594e+03   -8.2466484760e+01    3.7488382303e+01   -1.0821220563e+01   -5.1102678690e+01   -2.3960038333e+01    3.4174528268e+00   -1.0550859305e+01    1.0155957448e-01    2.0800000000e+02    1.5873312086e-01    7.1521935096e-01
         5   -4.5025660632e+01    2.0289835672e+03   -8.1603655434e+01    3.6577994803e+01   -1.1199595234e+01   -5.1102678690e+01   -2.2131466919e+01    2.8300854092e+00   -1.0896590184e+01    1.0155957448e-01    2.0800000000e+02    1.6633798074e-01    7.1735276442e-01
         6   -4.4967528779e+01    2.0233367538e+03   -8.1964407858e+01    3.6996879079e+01   -1.1310372283e+01   -5.1102678690e+01   -2.2510497313e+01    2.9591404283e+00   -1.1029652240e+01    1.0155957448e-01    2.0800000000e+02    1.5838778845e-01    7.2062800481e-01
         7   -4.5030039116e+01    2.0290474551e+03   -8.3436505969e+01    3.8406466853e+01   -1.1138573225e+01   -5.1102678690e+01   -2.4086181818e+01    2.8909277644e+00   -1.0831157861e+01    1.0155957448e-01    2.0800000000e+02    1.5340414724e-01    7.1615084135e-01
         8   -4.4924251567e+01    2.0193048395e+03   -8.2295471504e+01    3.7371219937e+01   -1.0954669616e+01   -5.1102678690e+01   -2.2572482585e+01    2.3343593875e+00   -1.0653384062e+01    1.0155957448e-01    2.0800000000e+02    1.5466780756e-01    7.1702223558e-01
         9   -4.4972672057e+01    2.0240896631e+03   -8.2968167569e+01    3.7995495512e+01   -1.0932196548e+01   -5.1102678690e+01   -2.3207064560e+01    2.2737722302e+00   -1.0660854554e+01    1.0155957448e-01    2.0800000000e+02    1.5885549068e-01    7.1795372596e-01
        10   -4.4829351725e+01    2.0108130032e+03   -8.2167594643e+01    3.7338242918e+01   -1.1209172398e+01   -5.1102678690e+01   -2.2529961285e+01    2.6742177293e+00   -1.0891062568e+01    1.0155957448e-01    2.0800000000e+02    1.5645243150e-01    7.1808894231e-01
        11   -4.5132880806e+01    2.0384195401e+03   -8.2752783908e+01    3.7619903102e+01   -1.1445520009e+01   -5.1102678690e+01   -2.3747908501e+01    3.5433232923e+00   -1.1185040813e+01    1.0155957448e-01    2.0800000000e+02    1.5731625444e-01    7.2028245192e-01
        12   -4.5106451425e+01    2.0357948663e+03   -8.2107556151e+01    3.7001104726e+01   -1.1348909046e+01   -5.1102678690e+01   -2.2155292611e+01    2.4993241957e+00   -1.1080436615e+01    1.0155957448e-01    2.0800000000e+02    1.3626903768e-01    7.1894531250e-01
        13   -4.5193056010e+01    2.0438094693e+03   -8.1232568808e+01    3.6039512798e+01   -1.0962575708e+01   -5.1102678690e+01   -2.2261266935e+01    3.0939525259e+00   -1.0698318070e+01    1.0155957448e-01    2.0800000000e+02    1.5360215138e-01    7.1600060096e-01
        14   -4.5059106546e+01    2.0319014266e+03   -8.1683070413e+01    3.6623963867e+01   -1.1005706794e+01   -5.1102678690e+01   -2.2711494055e+01    3.1368091265e+00   -1.0711584589e+01    1.0155957448e-01    2.0800000000e+02    1.4334545913e-01    7.1548978365e-01
        15   -4.4995730453e+01    2.0260380166e+03   -8.2462124062e+01    3.7466393609e+01   -1.1144269011e+01   -5.1102678690e+01   -2.2759219980e+01    2.5440436189e+00   -1.0869986491e+01    1.0155957448e-01    2.0800000000e+02    1.5439996588e-01    7.1646634615e-01
        16   -4.4890635637e+01    2.0163320221e+03   -8.1395331085e+01    3.6504695448e+01   -1.1321377066e+01   -5.1102678690e+01   -2.1255958029e+01    2.2846827009e+00   -1.1028512426e+01    1.0155957448e-01    2.0800000000e+02    1.5325727239e-01    7.1691706731e-01
        17   -4.5098470441e+01    2.0352876682e+03   -8.2139523492e+01    3.7041053051e+01   -1.1401048723e+01   -5.1102678690e+01   -2.2947316380e+01    3.3115203009e+00   -1.1110617589e+01    1.0155957448e-01    2.0800000000e+02    1.3827044211e-01    7.1696213942e-01
        18   -4.4954286914e+01    2.0222417509e+03   -8.1214191047e+01    3.6259904133e+01   -1.1051967307e+01   -5.1102678690e+01   -2.1685999911e+01    2.6264548617e+00   -1.0769144821e+01    1.0155957448e-01    2.0800000000e+02    1.3989317425e-01    7.1600060096e-01
        19   -4.5278677073e+01    2.0516856882e+03   -8.2227013176e+01    3.6948336103e+01   -1.0922348174e+01   -5.1102678690e+01   -2.2908095565e+01    2.7061092535e+00   -1.0643204242e+01    1.0155957448e-01    2.0800000000e+02    1.4909750631e-01    7.1759314904e-01
        20   -4.5053423990e+01    2.0311281829e+03   -8.2261730245e+01    3.7208306255e+01   -1.0767854396e+01   -5.1102678690e+01   -2.3162790226e+01    2.7715930677e+00   -1.0483792426e+01    1.0155957448e-01    2.0800000000e+02    1.5168324637e-01    7.1933593750e-01
        21   -4.4891861625e+01    2.0165003908e+03   -8.2102207716e+01    3.7210346090e+01   -1.1292249496e+01   -5.1102678690e+01   -2.1878350345e+01    2.1710708163e+00   -1.0989800175e+01    1.0155957448e-01    2.0800000000e+02    1.5075839515e-01    7.2140925481e-01
        22   -4.5037843272e+01    2.0296745096e+03   -8.2804916423e+01    3.7767073151e+01   -1.0707355511e+01   -5.1102678690e+01   -2.3887107434e+01    2.8922252119e+00   -1.0428369988e+01    1.0155957448e-01    2.0800000000e+02    1.5048358138e-01    7.1628605769e-01
        23   -4.4913225325e+01    2.0189873145e+03   -8.1602681355e+01    3.6689456029e+01   -1.0982074831e+01   -5.1102678690e+01   -2.2406597549e+01    2.8886697161e+00   -1.0706473333e+01    1.0155957448e-01    2.0800000000e+02    1.4429599519e-01    7.1789362981e-01
        24   -4.5023143318e+01    2.0282949192e+03   -8.2669981317e+01    3.7646837999e+01   -1.0906298052e+01   -5.1102678690e+01   -2.3192490655e+01    2.5314860798e+00   -1.0622540398e+01    1.0155957448e-01    2.0800000000e+02    1.5437404213e-01    7.1924579327e-01
        25   -4.4804065497e+01    2.0090565727e+03   -8.2433611378e+01    3.7629545882e+01   -1.1331844270e+01   -5.1102678690e+01   -2.2610680558e+01    2.6115921399e+00   -1.1015697529e+01    1.0155957448e-01    2.0800000000e+02    1.5363474944e-01    7.1990685096e-01
        26   -4.4870865031e+01    2.0146891159e+03   -8.2543393643e+01    3.7672528612e+01   -1.0989036906e+01   -5.1102678690e+01   -2.2770582070e+01    2.3189040241e+00   -1.0714428626e+01    1.0155957448e-01    2.0800000000e+02    1.5041706851e-01    7.1902043269e-01
        27   -4.5051730918e+01    2.0310114888e+03   -8.2022700457e+01    3.6970969539e+01   -1.0897366697e+01   -5.1102678690e+01   -2.3336844827e+01    3.3141897576e+00   -1.0567050832e+01    1.0155957448e-01    2.0800000000e+02    1.5160265432e-01    7.1670673077e-01
        28   -4.4996347150e+01    2.0261692801e+03   -8.2509689216e+01    3.7513342066e+01   -1.1110886986e+01   -5.1102678690e+01   -2.3099046818e+01    2.8029232790e+00   -1.0840274991e+01    1.0155957448e-01    2.0800000000e+02    1.5474606832e-01    7.1882512019e-01
        29   -4.5038489823e+01    2.0297773769e+03   -8.1847732190e+01    3.6809242367e+01   -1.1163974122e+01   -5.1102678690e+01   -2.2538678191e+01    2.9575988135e+00   -1.0841369033e+01    1.0155957448e-01    2.0800000000e+02    1.5182006738e-01    7.1739783654e-01
