#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5120138532e+01    2.0369242834e+03   -8.2275257750e+01    3.7155119217e+01   -1.1353252646e+01   -5.1102678690e+01   -2.2670296351e+01    2.8509699384e+00   -1.1078730813e+01    7.7995579949e-02    2.0800000000e+02    3.0575121367e-02    7.1485877404e-01
         1   -4.5071903950e+01    2.0326096399e+03   -8.2400109773e+01    3.7328205823e+01   -1.1161271738e+01   -5.1102678690e+01   -2.3341493371e+01    3.2053340263e+00   -1.0901573730e+01    7.7995579949e-02    2.0800000000e+02    3.0699102615e-02    7.1714242788e-01
         2   -4.5036171986e+01    2.0294274497e+03   -8.3531306008e+01    3.8495134022e+01   -1.1128993325e+01   -5.1102678690e+01   -2.4186934945e+01    2.8873009532e+00   -1.0854479263e+01    7.7995579949e-02    2.0800000000e+02    3.0835854188e-02    7.1950120192e-01
         3   -4.5101174672e+01    2.0358540252e+03   -8.1732120847e+01    3.6630946175e+01   -1.0806223374e+01   -5.1102678690e+01   -2.3027395924e+01    3.2041771418e+00   -1.0544907348e+01    7.7995579949e-02    2.0800000000e+02    3.0527635223e-02    7.1918569712e-01
         4   -4.5082404510e+01    2.0347385174e+03   -8.2923742242e+01    3.7841337732e+01   -1.1107611949e+01   -5.1102678690e+01   -2.4742872594e+01    4.0294209907e+00   -1.0831980930e+01    7.7995579949e-02    2.0800000000e+02    3.0353438633e-02    7.1679687500e-01
         5   -4.5091586604e+01    2.0341377567e+03   -8.2485807764e+01    3.7394221159e+01   -1.1332922696e+01   -5.1102678690e+01   -2.3192561422e+01    3.1423550451e+00   -1.1050414659e+01    7.7995579949e-02    2.0800000000e+02    3.0666669125e-02    7.1864483173e-01
         6   -4.5054736608e+01    2.0308283653e+03   -8.2149403600e+01    3.7094666992e+01   -1.0971675997e+01   -5.1102678690e+01   -2.3191092221e+01    3.1160433076e+00   -1.0705807322e+01    7.7995579949e-02    2.0800000000e+02    3.0611162183e-02    7.2014723558e-01
         7   -4.5163139943e+01    2.0407687087e+03   -8.1273775122e+01    3.6110635179e+01   -1.1127096643e+01   -5.1102678690e+01   -2.2276478855e+01    3.2324790664e+00   -1.0858207498e+01    7.7995579949e-02    2.0800000000e+02    3.0410794003e-02    7.1454326923e-01
         8   -4.5242661633e+01    2.0483208458e+03   -8.2608767412e+01    3.7366105780e+01   -1.0920830302e+01   -5.1102678690e+01   -2.3637134378e+01    3.0518759583e+00   -1.0608195380e+01    7.7995579949e-02    2.0800000000e+02    3.0882031700e-02    7.1783353365e-01
         9   -4.5085640079e+01    2.0339127513e+03   -8.1881883369e+01    3.6796243289e+01   -1.1317195725e+01   -5.1102678690e+01   -2.2408860230e+01    2.9468512771e+00   -1.1045124945e+01    7.7995579949e-02    2.0800000000e+02    3.0939669814e-02    7.1986177885e-01
        10   -4.5129046577e+01    2.0378464866e+03   -8.1940555569e+01    3.6811508992e+01   -1.1237618331e+01   -5.1102678690e+01   -2.2761440558e+01    3.1611820098e+00   -1.0927344690e+01    7.7995579949e-02    2.0800000000e+02    3.0690107138e-02    7.1862980769e-01
        11   -4.5003349212e+01    2.0263779183e+03   -8.1400343145e+01    3.6396993933e+01   -1.1119166063e+01   -5.1102678690e+01   -2.1663488776e+01    2.4849903845e+00   -1.0812575298e+01    7.7995579949e-02    2.0800000000e+02    3.1071540565e-02    7.1606069712e-01
        12   -4.5000314631e+01    2.0259370437e+03   -8.1972977721e+01    3.6972663090e+01   -1.1079329823e+01   -5.1102678690e+01   -2.2616109976e+01    2.8251407684e+00   -1.0805163810e+01    7.7995579949e-02    2.0800000000e+02    3.0597112804e-02    7.1744290865e-01
        13   -4.5060820982e+01    2.0313538892e+03   -8.1810415087e+01    3.6749594106e+01   -1.1371069828e+01   -5.1102678690e+01   -2.2364631579e+01    3.0279650098e+00   -1.1093444433e+01    7.7995579949e-02    2.0800000000e+02    3.1454789620e-02    7.1645132212e-01
        14   -4.5094250340e+01    2.0345744418e+03   -8.2142046993e+01    3.7047796652e+01   -1.1299265764e+01   -5.1102678690e+01   -2.2869015783e+01    3.1289132450e+00   -1.1053480215e+01    7.7995579949e-02    2.0800000000e+02    3.0946675812e-02    7.1810396635e-01
        15   -4.5053778316e+01    2.0306816897e+03   -8.0844591420e+01    3.5790813104e+01   -1.1210334784e+01   -5.1102678690e+01   -2.2273638732e+01    3.7420607871e+00   -1.0899675616e+01    7.7995579949e-02    2.0800000000e+02    3.0618466371e-02    7.1517427885e-01
        16   -4.5309176165e+01    2.0544717179e+03   -8.1787307145e+01    3.6478130981e+01   -1.0890765682e+01   -5.1102678690e+01   -2.2546451545e+01    2.7525887720e+00   -1.0653257130e+01    7.7995579949e-02    2.0800000000e+02    3.0699976676e-02    7.1615084135e-01
        17   -4.5066448359e+01    2.0324936560e+03   -8.2485830264e+01    3.7419381905e+01   -1.1382191225e+01   -5.1102678690e+01   -2.2856627542e+01    2.8556671922e+00   -1.1112282640e+01    7.7995579949e-02    2.0800000000e+02    3.1083662441e-02    7.1723257212e-01
