#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6469227359e+01    2.1600663247e+03   -6.5588705966e+01    1.9119478607e+01    3.0182846860e+01   -1.0402239912e+02    8.2508462929e+00    2.0019200000e+05    3.0524851952e-01    4.0402327402e-01
         1   -4.6466104301e+01    2.1597700346e+03   -6.5644101953e+01    1.9177997653e+01    3.0178474229e+01   -1.0404680402e+02    8.2242278347e+00    2.0019200000e+05    3.0484514859e-01    4.0391769356e-01
         2   -4.6469299913e+01    2.1600608250e+03   -6.5703172292e+01    1.9233872379e+01    3.0210981119e+01   -1.0411533681e+02    8.2011833999e+00    2.0019200000e+05    3.0408738860e-01    4.0330146696e-01
         3   -4.6469601640e+01    2.1600842943e+03   -6.5706751883e+01    1.9237150243e+01    3.0208698483e+01   -1.0410469562e+02    8.1892452540e+00    2.0019200000e+05    3.0486573805e-01    4.0331123031e-01
         4   -4.6469956418e+01    2.1601358812e+03   -6.5647889989e+01    1.9177933571e+01    3.0198562872e+01   -1.0405092516e+02    8.2044722995e+00    2.0019200000e+05    3.0422772029e-01    4.0339546762e-01
         5   -4.6464230780e+01    2.1595983896e+03   -6.5690673723e+01    1.9226442944e+01    3.0203375886e+01   -1.0412627393e+02    8.2322243186e+00    2.0019200000e+05    3.0416113620e-01    4.0318521492e-01
         6   -4.6466731986e+01    2.1598306397e+03   -6.5665107585e+01    1.9198375599e+01    3.0192220263e+01   -1.0409826393e+02    8.2409360866e+00    2.0019200000e+05    3.0487207192e-01    4.0335437071e-01
         7   -4.6469251699e+01    2.1600637148e+03   -6.5625851111e+01    1.9156599412e+01    3.0171705147e+01   -1.0401205298e+02    8.2144967231e+00    2.0019200000e+05    3.0411757573e-01    4.0375171653e-01
         8   -4.6467971968e+01    2.1599634992e+03   -6.5639975946e+01    1.9172003978e+01    3.0191397169e+01   -1.0404353037e+02    8.2121572504e+00    2.0019200000e+05    3.0415994893e-01    4.0380462029e-01
         9   -4.6464166484e+01    2.1595959301e+03   -6.5689673372e+01    1.9225506888e+01    3.0197760293e+01   -1.0411426364e+02    8.2268299700e+00    2.0019200000e+05    3.0454309854e-01    4.0319565944e-01
        10   -4.6468890318e+01    2.1600439252e+03   -6.5570365704e+01    1.9101475386e+01    3.0177592249e+01   -1.0402367308e+02    8.2757151258e+00    2.0019200000e+05    3.0419944621e-01    4.0379508399e-01
        11   -4.6468613610e+01    2.1600056589e+03   -6.5622758448e+01    1.9154144837e+01    3.0189350031e+01   -1.0403457570e+02    8.2224672194e+00    2.0019200000e+05    3.0502886325e-01    4.0379258639e-01
        12   -4.6471762323e+01    2.1603078750e+03   -6.5693170138e+01    1.9221407815e+01    3.0181448043e+01   -1.0409922828e+02    8.2246100997e+00    2.0019200000e+05    3.0435055976e-01    4.0374831071e-01
        13   -4.6471899064e+01    2.1603113820e+03   -6.5675634157e+01    1.9203735093e+01    3.0184769695e+01   -1.0404485321e+02    8.1844493599e+00    2.0019200000e+05    3.0428683539e-01    4.0350127514e-01
        14   -4.6467700321e+01    2.1599146685e+03   -6.5660020653e+01    1.9192320332e+01    3.0201277814e+01   -1.0409148971e+02    8.2301912466e+00    2.0019200000e+05    3.0506771014e-01    4.0391156308e-01
        15   -4.6473538507e+01    2.1604689310e+03   -6.5708676108e+01    1.9235137601e+01    3.0175501732e+01   -1.0402208670e+02    8.1379088603e+00    2.0019200000e+05    3.0426098056e-01    4.0340023577e-01
        16   -4.6465205303e+01    2.1596832696e+03   -6.5663025567e+01    1.9197820264e+01    3.0210381240e+01   -1.0412317993e+02    8.2497731241e+00    2.0019200000e+05    3.0447944210e-01    4.0390429733e-01
        17   -4.6470864484e+01    2.1602111556e+03   -6.5682848446e+01    1.9211983962e+01    3.0207779483e+01   -1.0415518966e+02    8.2645617272e+00    2.0019200000e+05    3.0699772957e-01    4.0345064193e-01
        18   -4.6469145855e+01    2.1600613068e+03   -6.5638808646e+01    1.9169662791e+01    3.0178934209e+01   -1.0404513557e+02    8.2273927174e+00    2.0019200000e+05    3.0700917279e-01    4.0403689731e-01
        19   -4.6470383615e+01    2.1601904073e+03   -6.5660065725e+01    1.9189682111e+01    3.0185867524e+01   -1.0412438344e+02    8.2784501931e+00    2.0019200000e+05    3.0562818971e-01    4.0358551245e-01
