#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6516568573e+01    2.1643474631e+03   -6.5708801386e+01    1.9192232814e+01    3.0193427090e+01   -1.0405444826e+02    8.1522197800e+00    8.1921500000e+05    2.2007105000e+00    9.9746600190e-01
         1   -4.6517808466e+01    2.1644382917e+03   -6.5706851542e+01    1.9189043076e+01    3.0192102764e+01   -1.0403474839e+02    8.1357940796e+00    8.2196100000e+05    2.1192645045e+00    9.9744230143e-01
         2   -4.6523713149e+01    2.1650319725e+03   -6.5679554015e+01    1.9155840866e+01    3.0154100172e+01   -1.0400350935e+02    8.1698551678e+00    8.1861900000e+05    2.1093720233e+00    9.9745338298e-01
         3   -4.6520792394e+01    2.1647656508e+03   -6.5578693923e+01    1.9057901529e+01    3.0123917421e+01   -1.0391239284e+02    8.2097814997e+00    8.2006300000e+05    2.1462143541e+00    9.9743620387e-01
         4   -4.6524302457e+01    2.1650755384e+03   -6.5618869224e+01    1.9094566767e+01    3.0141761319e+01   -1.0399774060e+02    8.2371100525e+00    8.1865100000e+05    2.0747823093e+00    9.9743603303e-01
         5   -4.6518552715e+01    2.1645342319e+03   -6.5681198209e+01    1.9162645494e+01    3.0151369765e+01   -1.0402427734e+02    8.1917093611e+00    8.1875400000e+05    2.3594405178e+00    9.9743460097e-01
         6   -4.6520763634e+01    2.1647320052e+03   -6.5623278008e+01    1.9102514374e+01    3.0139818324e+01   -1.0389050915e+02    8.1274128141e+00    8.1855600000e+05    2.1083441324e+00    9.9741705113e-01
         7   -4.6518531411e+01    2.1645737760e+03   -6.5667728431e+01    1.9149197020e+01    3.0139281645e+01   -1.0415652746e+02    8.3495173828e+00    8.1949100000e+05    2.1478184286e+00    9.9743170502e-01
         8   -4.6517535687e+01    2.1644441838e+03   -6.5675163395e+01    1.9157627708e+01    3.0172620391e+01   -1.0407847449e+02    8.2306907025e+00    8.1764600000e+05    2.0982103790e+00    9.9739285046e-01
         9   -4.6517929166e+01    2.1644861508e+03   -6.5702389883e+01    1.9184460717e+01    3.0144748455e+01   -1.0413986948e+02    8.2927311397e+00    8.1528600000e+05    2.1162188461e+00    9.9740468419e-01
        10   -4.6520637846e+01    2.1647668953e+03   -6.5600381922e+01    1.9079744076e+01    3.0119546769e+01   -1.0398884855e+02    8.2689198554e+00    8.1818700000e+05    2.2168927491e+00    9.9742589479e-01
        11   -4.6518003250e+01    2.1644878704e+03   -6.5704636369e+01    1.9186633119e+01    3.0193473838e+01   -1.0420593400e+02    8.3078237961e+00    8.2418900000e+05    2.1169585450e+00    9.9743985856e-01
        12   -4.6523846119e+01    2.1650308372e+03   -6.5668352228e+01    1.9144506109e+01    3.0187422509e+01   -1.0408895545e+02    8.2331807142e+00    8.1671800000e+05    2.1330772117e+00    9.9740938407e-01
        13   -4.6520915296e+01    2.1647570639e+03   -6.5673054731e+01    1.9152139435e+01    3.0161523655e+01   -1.0408308556e+02    8.2485071732e+00    8.1136000000e+05    2.1307907087e+00    9.9743782577e-01
        14   -4.6524365254e+01    2.1650303534e+03   -6.5654264772e+01    1.9129899518e+01    3.0095227122e+01   -1.0389607525e+02    8.1465833562e+00    8.2145100000e+05    2.1421373241e+00    9.9745653632e-01
        15   -4.6520483032e+01    2.1647081195e+03   -6.5674104509e+01    1.9153621477e+01    3.0170966713e+01   -1.0401708767e+02    8.1720164496e+00    8.2298800000e+05    2.1158854440e+00    9.9741337004e-01
        16   -4.6521220429e+01    2.1647882973e+03   -6.5803751995e+01    1.9282531566e+01    3.0240215714e+01   -1.0437129936e+02    8.3273316513e+00    8.2436900000e+05    2.1008206304e+00    9.9740754712e-01
        17   -4.6518780418e+01    2.1645506100e+03   -6.5721709149e+01    1.9202928731e+01    3.0226802491e+01   -1.0423707970e+02    8.2885680596e+00    8.2831400000e+05    2.1492552972e+00    9.9741081996e-01
        18   -4.6518193034e+01    2.1645043363e+03   -6.5730708440e+01    1.9212515406e+01    3.0234701757e+01   -1.0424523271e+02    8.2798225128e+00    8.2401300000e+05    2.1789250106e+00    9.9743543512e-01
        19   -4.6516293273e+01    2.1643119563e+03   -6.5660550671e+01    1.9144257398e+01    3.0146917233e+01   -1.0402894793e+02    8.2214800273e+00    8.1601000000e+05    2.3039831041e+00    9.9745491077e-01
        20   -4.6519186564e+01    2.1646328120e+03   -6.5675077595e+01    1.9155891031e+01    3.0140605115e+01   -1.0401649844e+02    8.2008157351e+00    8.1731200000e+05    2.1309712240e+00    9.9746545793e-01
