#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6515704299e+01    2.1643019159e+03   -6.5741588832e+01    1.9225884533e+01    3.0201646979e+01   -1.0414529997e+02    8.2020641579e+00    4.0958100000e+05    2.2122723123e+00    9.9340532836e-01
         1   -4.6516142292e+01    2.1643185939e+03   -6.5765300235e+01    1.9249157942e+01    3.0230087549e+01   -1.0426247727e+02    8.2670894909e+00    4.0955800000e+05    1.9180462356e+00    9.9348186350e-01
         2   -4.6518092855e+01    2.1645405968e+03   -6.5820070811e+01    1.9301977955e+01    3.0228383449e+01   -1.0421503404e+02    8.1665797795e+00    4.0868200000e+05    1.2220243926e+00    9.9344003781e-01
         3   -4.6520316133e+01    2.1647323369e+03   -6.5724675193e+01    1.9204359061e+01    3.0193876999e+01   -1.0412790160e+02    8.2093494085e+00    4.0621100000e+05    1.0712515230e+00    9.9352201854e-01
         4   -4.6519077092e+01    2.1646110586e+03   -6.5774919418e+01    1.9255842326e+01    3.0220643131e+01   -1.0423757463e+02    8.2420120792e+00    4.0768900000e+05    1.0940336778e+00    9.9351655441e-01
         5   -4.6518121227e+01    2.1645065439e+03   -6.5727809339e+01    1.9209688111e+01    3.0215581015e+01   -1.0417337313e+02    8.2299827743e+00    4.0899700000e+05    1.0735947595e+00    9.9348097955e-01
         6   -4.6516284815e+01    2.1643537071e+03   -6.5668112104e+01    1.9151827288e+01    3.0164857132e+01   -1.0404852033e+02    8.2155510898e+00    4.0932700000e+05    1.1978167444e+00    9.9351530180e-01
         7   -4.6517281458e+01    2.1644271258e+03   -6.5717928478e+01    1.9200647020e+01    3.0117697754e+01   -1.0397746128e+02    8.1418350517e+00    4.1036700000e+05    1.0958165597e+00    9.9355474838e-01
         8   -4.6516043017e+01    2.1643271214e+03   -6.5744078799e+01    1.9228035782e+01    3.0188943114e+01   -1.0416989586e+02    8.2368739513e+00    4.0714200000e+05    1.0663851131e+00    9.9337920150e-01
         9   -4.6521348939e+01    2.1648195892e+03   -6.5805255008e+01    1.9283906069e+01    3.0213610929e+01   -1.0427111270e+02    8.2522467654e+00    4.0934400000e+05    1.1078449098e+00    9.9349082186e-01
        10   -4.6520415905e+01    2.1647880750e+03   -6.5746829713e+01    1.9226413808e+01    3.0156044595e+01   -1.0420900802e+02    8.3061337086e+00    4.0867700000e+05    1.7643711672e+00    9.9355440624e-01
        11   -4.6520242011e+01    2.1647138002e+03   -6.5773008186e+01    1.9252766176e+01    3.0178905104e+01   -1.0410645238e+02    8.1545390923e+00    4.1040100000e+05    1.0611650602e+00    9.9351910568e-01
        12   -4.6516733535e+01    2.1643956932e+03   -6.5885829984e+01    1.9369096450e+01    3.0289350459e+01   -1.0447447216e+02    8.2992917171e+00    4.0881200000e+05    1.3851701766e+00    9.9340975762e-01
        13   -4.6520688602e+01    2.1647594201e+03   -6.5778619624e+01    1.9257931023e+01    3.0180742272e+01   -1.0422796811e+02    8.2686062100e+00    4.1051100000e+05    1.7934530036e+00    9.9338751751e-01
        14   -4.6519062657e+01    2.1646068269e+03   -6.5735277642e+01    1.9216214985e+01    3.0172314669e+01   -1.0411864039e+02    8.2110480816e+00    4.0993900000e+05    1.4348345714e+00    9.9349114316e-01
        15   -4.6522018643e+01    2.1649201120e+03   -6.5727017415e+01    1.9204998773e+01    3.0189748730e+01   -1.0416439341e+02    8.2476272667e+00    4.0641300000e+05    1.1583981155e+00    9.9337816535e-01
        16   -4.6519977789e+01    2.1646889838e+03   -6.5627666101e+01    1.9107688312e+01    3.0143590495e+01   -1.0391087392e+02    8.1396173222e+00    4.1093800000e+05    1.2142726157e+00    9.9345880262e-01
