#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6505959253e+01    2.1634234483e+03   -6.5562620378e+01    1.9056661124e+01    3.0139580394e+01   -1.0325799653e+02    7.5557957574e+00    3.0000000000e+02    1.9924419750e-02    4.1863636364e-01
         1   -4.6427083079e+01    2.1560598640e+03   -6.5279416268e+01    1.8852333189e+01    2.9947080193e+01   -1.0409922317e+02    8.8727267060e+00    3.0000000000e+02    2.0257100500e-02    3.9924242424e-01
         2   -4.6422391824e+01    2.1553732775e+03   -6.5896863180e+01    1.9474471356e+01    3.0136589955e+01   -1.0370182821e+02    7.6683750791e+00    3.0000000000e+02    2.0712412750e-02    4.0000000000e-01
         3   -4.6498255459e+01    2.1626389022e+03   -6.5497563223e+01    1.8999307763e+01    3.0290165617e+01   -1.0311073669e+02    7.3230078502e+00    3.0000000000e+02    1.9173686500e-02    3.9863636364e-01
         4   -4.6463561823e+01    2.1595507865e+03   -6.6410027742e+01    1.9946465920e+01    3.0620533740e+01   -1.0464170772e+02    7.6111462415e+00    3.0000000000e+02    2.3431527750e-02    4.0742424242e-01
         5   -4.6359678928e+01    2.1499456278e+03   -6.5781375378e+01    1.9421696449e+01    3.0317800228e+01   -1.0502101690e+02    8.9218412906e+00    3.0000000000e+02    1.9116489000e-02    3.9893939394e-01
         6   -4.6415273496e+01    2.1548769880e+03   -6.5590724008e+01    1.9175450511e+01    3.0085907982e+01   -1.0294872759e+02    7.2720955971e+00    3.0000000000e+02    2.0982523000e-02    4.0681818182e-01
         7   -4.6475849096e+01    2.1604753625e+03   -6.4536547083e+01    1.8060697987e+01    2.9239628216e+01   -1.0135453475e+02    7.5783594463e+00    3.0000000000e+02    1.8790499500e-02    4.2045454545e-01
         8   -4.6480246214e+01    2.1608092764e+03   -6.6163152363e+01    1.9682906149e+01    3.0177482131e+01   -1.0317664168e+02    6.8360071899e+00    3.0000000000e+02    1.9662954500e-02    4.0303030303e-01
         9   -4.6469501874e+01    2.1599340835e+03   -6.6835583770e+01    2.0366081896e+01    3.0408693642e+01   -1.0431196550e+02    7.0676880931e+00    3.0000000000e+02    1.9630965000e-02    3.9772727273e-01
        10   -4.6541347299e+01    2.1665487919e+03   -6.5610777913e+01    1.9069430614e+01    3.0030756213e+01   -1.0285882089e+02    7.2172867639e+00    3.0000000000e+02    1.9177716500e-02    4.0409090909e-01
        11   -4.6464319805e+01    2.1595053001e+03   -6.5835366795e+01    1.9371046990e+01    2.9873794447e+01   -1.0407851334e+02    8.3693520950e+00    3.0000000000e+02    2.1314221250e-02    4.0545454545e-01
        12   -4.6419501396e+01    2.1554662174e+03   -6.5748058435e+01    1.9328557038e+01    2.9873404443e+01   -1.0394913853e+02    8.3276756491e+00    3.0000000000e+02    1.9452103500e-02    4.1196969697e-01
        13   -4.6413247152e+01    2.1546122636e+03   -6.5504707174e+01    1.9091460022e+01    2.9980780379e+01   -1.0278275375e+02    7.2972661974e+00    3.0000000000e+02    1.9288493750e-02    4.0090909091e-01
        14   -4.6561563476e+01    2.1686579514e+03   -6.4282677393e+01    1.7721113917e+01    2.9125376275e+01   -1.0078111004e+02    7.3730563750e+00    3.0000000000e+02    1.9143812750e-02    4.1500000000e-01
        15   -4.6464887328e+01    2.1595544949e+03   -6.6185033639e+01    1.9720146310e+01    3.0424178070e+01   -1.0536269096e+02    8.7534792497e+00    3.0000000000e+02    1.9231216500e-02    3.9909090909e-01
        16   -4.6421858384e+01    2.1555396702e+03   -6.6174124418e+01    1.9752266034e+01    3.0234653294e+01   -1.0380244303e+02    7.3936653134e+00    3.0000000000e+02    2.1084699250e-02    4.0484848485e-01
        17   -4.6365851297e+01    2.1505204317e+03   -6.5066853766e+01    1.8701002468e+01    3.0293586181e+01   -1.0362661077e+02    8.2661708250e+00    3.0000000000e+02    1.9037934250e-02    4.0393939394e-01
        18   -4.6390823014e+01    2.1527782635e+03   -6.5026786173e+01    1.8635963160e+01    3.0083597913e+01   -1.0329116734e+02    8.1807832569e+00    3.0000000000e+02    1.9557475000e-02    4.0924242424e-01
        19   -4.6424744289e+01    2.1557784322e+03   -6.7136374630e+01    2.0711630341e+01    3.0096025980e+01   -1.0456936641e+02    7.3369657991e+00    3.0000000000e+02    1.9300437000e-02    3.9106060606e-01
