#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6465802471e+01    2.1597472392e+03   -6.5598036384e+01    1.9132233913e+01    3.0137484454e+01   -1.0397626905e+02    8.2407482174e+00    1.0009600000e+05    1.5369421419e-01    4.0419651680e-01
         1   -4.6469796020e+01    2.1601043536e+03   -6.5558525933e+01    1.9088729913e+01    3.0161553215e+01   -1.0401501782e+02    8.2949386707e+00    1.0009600000e+05    1.5207808114e-01    4.0444900169e-01
         2   -4.6470404914e+01    2.1601767939e+03   -6.5663695233e+01    1.9193290320e+01    3.0212115842e+01   -1.0417883449e+02    8.3030234110e+00    1.0009600000e+05    1.5210902822e-01    4.0335641421e-01
         3   -4.6467871095e+01    2.1599181871e+03   -6.5641111537e+01    1.9173240441e+01    3.0162020349e+01   -1.0395628589e+02    8.1531540059e+00    1.0009600000e+05    1.5197056269e-01    4.0352443472e-01
         4   -4.6463973926e+01    2.1595838461e+03   -6.5596777218e+01    1.9132803292e+01    3.0147320515e+01   -1.0388206650e+02    8.1379687624e+00    1.0009600000e+05    1.5202647228e-01    4.0391269836e-01
         5   -4.6468647533e+01    2.1599907912e+03   -6.5664598754e+01    1.9195951221e+01    3.0169380464e+01   -1.0405469771e+02    8.2207184872e+00    1.0009600000e+05    1.5244372978e-01    4.0372605935e-01
         6   -4.6462831673e+01    2.1594735294e+03   -6.5579178702e+01    1.9116347029e+01    3.0169026491e+01   -1.0404307076e+02    8.2948655666e+00    1.0009600000e+05    1.5201050832e-01    4.0386274631e-01
         7   -4.6468028971e+01    2.1599383424e+03   -6.5625112972e+01    1.9157084001e+01    3.0175491898e+01   -1.0397430676e+02    8.1737018921e+00    1.0009600000e+05    1.5198000170e-01    4.0452620030e-01
         8   -4.6468357587e+01    2.1599568505e+03   -6.5700751394e+01    1.9232393807e+01    3.0184455030e+01   -1.0406380200e+02    8.1785955789e+00    1.0009600000e+05    1.5204709330e-01    4.0392722986e-01
         9   -4.6464815440e+01    2.1596446088e+03   -6.5618521575e+01    1.9153706135e+01    3.0160207694e+01   -1.0397993018e+02    8.2012009077e+00    1.0009600000e+05    1.5201639735e-01    4.0407209079e-01
        10   -4.6466251070e+01    2.1597885210e+03   -6.5580529068e+01    1.9114277998e+01    3.0183240123e+01   -1.0400173975e+02    8.2379705605e+00    1.0009600000e+05    1.5279714676e-01    4.0394039904e-01
        11   -4.6466232625e+01    2.1597884608e+03   -6.5578746537e+01    1.9112513912e+01    3.0160055022e+01   -1.0405148770e+02    8.3126861464e+00    1.0009600000e+05    1.5196682557e-01    4.0353942034e-01
        12   -4.6465106688e+01    2.1596854400e+03   -6.5595728281e+01    1.9130621592e+01    3.0167325865e+01   -1.0397225087e+02    8.2091967245e+00    1.0009600000e+05    1.5200854400e-01    4.0456252906e-01
        13   -4.6465886096e+01    2.1597779480e+03   -6.5648087645e+01    1.9182201549e+01    3.0210172876e+01   -1.0426704234e+02    8.4087818149e+00    1.0009600000e+05    1.5200024142e-01    4.0339501351e-01
        14   -4.6470785614e+01    2.1601983799e+03   -6.5607830157e+01    1.9137044543e+01    3.0175736761e+01   -1.0404578809e+02    8.2622211742e+00    1.0009600000e+05    1.5202649420e-01    4.0351308199e-01
        15   -4.6466668178e+01    2.1598018606e+03   -6.5697606792e+01    1.9230938614e+01    3.0209056838e+01   -1.0406225743e+02    8.1555937970e+00    1.0009600000e+05    1.5269665771e-01    4.0337003749e-01
        16   -4.6463603468e+01    2.1595650507e+03   -6.5663507913e+01    1.9199904445e+01    3.0180538347e+01   -1.0407398147e+02    8.2299352144e+00    1.0009600000e+05    1.5226858942e-01    4.0386229220e-01
        17   -4.6465339289e+01    2.1596846968e+03   -6.5641327449e+01    1.9175988160e+01    3.0168250210e+01   -1.0392726805e+02    8.1176903880e+00    1.0009600000e+05    1.5218400254e-01    4.0378146071e-01
        18   -4.6467335723e+01    2.1598684334e+03   -6.5643719319e+01    1.9176383596e+01    3.0177503914e+01   -1.0400492857e+02    8.1837053341e+00    1.0009600000e+05    1.5216971890e-01    4.0414656475e-01
        19   -4.6472429392e+01    2.1603593565e+03   -6.5605683623e+01    1.9133254231e+01    3.0159434991e+01   -1.0404912969e+02    8.2840110725e+00    1.0009600000e+05    1.5216875295e-01    4.0456162084e-01
