#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6519030343e+01    2.1645765939e+03   -6.5790089513e+01    1.9271059170e+01    3.0242087479e+01   -1.0436806589e+02    8.3358889023e+00    4.0954300000e+05    1.0914752352e+00    9.9350809279e-01
         1   -4.6524986263e+01    2.1651551798e+03   -6.5910554335e+01    1.9385568071e+01    3.0263763118e+01   -1.0454066178e+02    8.3663443314e+00    4.0957600000e+05    1.1161139616e+00    9.9343359552e-01
         2   -4.6521327676e+01    2.1647925224e+03   -6.5725214657e+01    1.9203886981e+01    3.0176499496e+01   -1.0417194005e+02    8.2702258935e+00    4.0837600000e+05    1.0559125959e+00    9.9354554436e-01
         3   -4.6524446365e+01    2.1651195147e+03   -6.5671762623e+01    1.9147316258e+01    3.0133653865e+01   -1.0403443450e+02    8.2290180136e+00    4.0914800000e+05    1.0519893367e+00    9.9349361182e-01
         4   -4.6519995643e+01    2.1647217095e+03   -6.5756111561e+01    1.9236115918e+01    3.0177811767e+01   -1.0418345093e+02    8.2495276035e+00    4.1121800000e+05    1.0502946903e+00    9.9335892026e-01
         5   -4.6517526645e+01    2.1644105926e+03   -6.5703184236e+01    1.9185657591e+01    3.0160033700e+01   -1.0406504758e+02    8.2018296433e+00    4.1169400000e+05    1.1149817517e+00    9.9349103302e-01
         6   -4.6517373815e+01    2.1644371193e+03   -6.5793633867e+01    1.9276260052e+01    3.0227449508e+01   -1.0429148719e+02    8.2704038196e+00    4.1036200000e+05    1.0621917480e+00    9.9343715776e-01
         7   -4.6518816132e+01    2.1645867002e+03   -6.5747798431e+01    1.9228982299e+01    3.0179968091e+01   -1.0411992084e+02    8.1921543193e+00    4.1183100000e+05    1.0683182899e+00    9.9342572761e-01
         8   -4.6523279681e+01    2.1649717650e+03   -6.5720689211e+01    1.9197409530e+01    3.0196064221e+01   -1.0410578922e+02    8.1890357905e+00    4.1082800000e+05    1.0551736434e+00    9.9355852737e-01
         9   -4.6514011467e+01    2.1640911169e+03   -6.5819761269e+01    1.9305749802e+01    3.0241738668e+01   -1.0422023603e+02    8.1587360949e+00    4.1236000000e+05    1.0656406971e+00    9.9349606079e-01
        10   -4.6515954785e+01    2.1642948975e+03   -6.5660943948e+01    1.9144989163e+01    3.0179727216e+01   -1.0403934176e+02    8.1986705916e+00    4.1098400000e+05    1.0532693219e+00    9.9359493209e-01
        11   -4.6522106270e+01    2.1648732578e+03   -6.5871922744e+01    1.9349816474e+01    3.0254623020e+01   -1.0437542474e+02    8.2488789776e+00    4.1498800000e+05    1.0652049219e+00    9.9344815273e-01
        12   -4.6521748346e+01    2.1648647919e+03   -6.5802326694e+01    1.9280578349e+01    3.0223135376e+01   -1.0423500406e+02    8.2095419941e+00    4.1054000000e+05    1.1787544550e+00    9.9347996507e-01
        13   -4.6520210015e+01    2.1647035124e+03   -6.5718671088e+01    1.9198461073e+01    3.0195604966e+01   -1.0421442231e+02    8.3001462527e+00    4.1059300000e+05    1.1460355183e+00    9.9341221769e-01
        14   -4.6523082746e+01    2.1649556828e+03   -6.5685597280e+01    1.9162514534e+01    3.0205645408e+01   -1.0413365203e+02    8.2424093465e+00    4.1254300000e+05    1.1773934325e+00    9.9345700893e-01
        15   -4.6525198277e+01    2.1651293128e+03   -6.5712033954e+01    1.9186835677e+01    3.0198519645e+01   -1.0411305241e+02    8.2024988127e+00    4.0961700000e+05    1.0544680633e+00    9.9351637398e-01
        16   -4.6527413201e+01    2.1654070667e+03   -6.5682070914e+01    1.9154657713e+01    3.0185422089e+01   -1.0408175107e+02    8.2142580646e+00    4.0869600000e+05    1.0695056398e+00    9.9356859264e-01
        17   -4.6519521032e+01    2.1646284881e+03   -6.5690092527e+01    1.9170571494e+01    3.0207614373e+01   -1.0411354566e+02    8.2158387617e+00    4.1033900000e+05    1.0644797174e+00    9.9352400031e-01
        18   -4.6524253016e+01    2.1650682293e+03   -6.5735221087e+01    1.9210968071e+01    3.0183090439e+01   -1.0413349182e+02    8.2151802978e+00    4.0933800000e+05    1.1110896214e+00    9.9349676070e-01
        19   -4.6520890080e+01    2.1647677288e+03   -6.5709824981e+01    1.9188934901e+01    3.0191091011e+01   -1.0415678965e+02    8.2558736554e+00    4.0892100000e+05    1.0666776580e+00    9.9352932848e-01
        20   -4.6525589134e+01    2.1652339287e+03   -6.5736468034e+01    1.9210878899e+01    3.0176903241e+01   -1.0421391339e+02    8.3005421151e+00    4.0889300000e+05    1.1063842747e+00    9.9348577490e-01
        21   -4.6518138885e+01    2.1644984794e+03   -6.5662018520e+01    1.9143879636e+01    3.0215703565e+01   -1.0418858368e+02    8.3108615924e+00    4.1123500000e+05    1.0527581800e+00    9.9347799722e-01
        22   -4.6521090183e+01    2.1647922449e+03   -6.5807164809e+01    1.9286074627e+01    3.0239388789e+01   -1.0434693653e+02    8.3003829267e+00    4.0988000000e+05    1.0901186703e+00    9.9349284157e-01
        23   -4.6519118832e+01    2.1646129008e+03   -6.5695619231e+01    1.9176500399e+01    3.0184366007e+01   -1.0412394805e+02    8.2439628095e+00    4.0800700000e+05    1.0501346536e+00    9.9355745195e-01
        24   -4.6519383375e+01    2.1646231137e+03   -6.5681800646e+01    1.9162417271e+01    3.0156334671e+01   -1.0407338094e+02    8.2352456234e+00    4.1192000000e+05    1.0707319063e+00    9.9347461695e-01
        25   -4.6520165477e+01    2.1646553881e+03   -6.5629996516e+01    1.9109831039e+01    3.0169574596e+01   -1.0399396153e+02    8.1943904190e+00    4.0646500000e+05    1.0542526661e+00    9.9359612588e-01
        26   -4.6520215210e+01    2.1646780057e+03   -6.5714405794e+01    1.9194190584e+01    3.0237373410e+01   -1.0419154560e+02    8.2397663942e+00    4.0087200000e+05    1.0484846629e+00    9.9344044232e-01
        27   -4.6519595974e+01    2.1646276401e+03   -6.5708343508e+01    1.9188747534e+01    3.0166854518e+01   -1.0409098818e+02    8.2157901538e+00    4.0819500000e+05    1.0621669897e+00    9.9350229086e-01
        28   -4.6521032304e+01    2.1647764541e+03   -6.5735385215e+01    1.9214352912e+01    3.0152519447e+01   -1.0399376464e+02    8.1058599817e+00    4.0571900000e+05    1.0435357795e+00    9.9353513555e-01
        29   -4.6513893878e+01    2.1641495920e+03   -6.5703415343e+01    1.9189521464e+01    3.0138443813e+01   -1.0398280559e+02    8.1409464344e+00    4.0608500000e+05    1.0544233265e+00    9.9349899212e-01
        30   -4.6521382185e+01    2.1648127523e+03   -6.5801376758e+01    1.9279994573e+01    3.0172813496e+01   -1.0427297710e+02    8.2987868484e+00    4.0703700000e+05    1.0535294957e+00    9.9347626744e-01
        31   -4.6525971328e+01    2.1652090807e+03   -6.5797015611e+01    1.9271044283e+01    3.0185179183e+01   -1.0423268883e+02    8.2504940374e+00    4.0721500000e+05    1.0357253227e+00    9.9348854263e-01
        32   -4.6529245110e+01    2.1655334308e+03   -6.5755084224e+01    1.9225839114e+01    3.0180369332e+01   -1.0423581787e+02    8.3003643183e+00    4.1050000000e+05    1.0759469845e+00    9.9348103121e-01
        33   -4.6524288217e+01    2.1650304558e+03   -6.5522456669e+01    1.8998168452e+01    3.0031792800e+01   -1.0376890600e+02    8.2146565273e+00    4.0717300000e+05    1.0457254622e+00    9.9357492839e-01
        34   -4.6523486973e+01    2.1649966421e+03   -6.5662364569e+01    1.9138877596e+01    3.0134578303e+01   -1.0400821426e+02    8.2112713853e+00    4.0847500000e+05    1.1794645501e+00    9.9352451397e-01
        35   -4.6523939226e+01    2.1650436488e+03   -6.5706906641e+01    1.9182967415e+01    3.0139180082e+01   -1.0406202981e+02    8.2159430876e+00    4.0868700000e+05    1.2987920914e+00    9.9344088349e-01
        36   -4.6522355559e+01    2.1648955113e+03   -6.5633236636e+01    1.9110881076e+01    3.0154789256e+01   -1.0408462102e+02    8.2965951275e+00    4.1076500000e+05    1.0465893780e+00    9.9343195194e-01
        37   -4.6526371652e+01    2.1652814385e+03   -6.5774782452e+01    1.9248410800e+01    3.0176546021e+01   -1.0426586724e+02    8.3145387700e+00    4.1086500000e+05    1.0413748451e+00    9.9342556866e-01
        38   -4.6526126389e+01    2.1652484130e+03   -6.5673820460e+01    1.9147694071e+01    3.0102695526e+01   -1.0399296119e+02    8.2164452057e+00    4.1044100000e+05    1.1518230811e+00    9.9354639870e-01
        39   -4.6520718383e+01    2.1647137902e+03   -6.5745411866e+01    1.9224693483e+01    3.0205061752e+01   -1.0418775305e+02    8.2372794346e+00    4.1274900000e+05    1.0784535395e+00    9.9353424334e-01
        40   -4.6524434983e+01    2.1650841666e+03   -6.5813277424e+01    1.9288842440e+01    3.0235112620e+01   -1.0425924277e+02    8.2108527290e+00    4.1049400000e+05    1.0722315382e+00    9.9344318805e-01
        41   -4.6518742358e+01    2.1645559240e+03   -6.5705085817e+01    1.9186343459e+01    3.0195324875e+01   -1.0408143156e+02    8.1810208710e+00    4.0712900000e+05    1.0478542167e+00    9.9354901800e-01
        42   -4.6520080477e+01    2.1646753404e+03   -6.5743082213e+01    1.9223001737e+01    3.0218347900e+01   -1.0423861503e+02    8.2771849208e+00    4.0668600000e+05    1.0962682529e+00    9.9345256296e-01
        43   -4.6523238412e+01    2.1649669667e+03   -6.5721110928e+01    1.9197872516e+01    3.0229508789e+01   -1.0420825198e+02    8.2576322617e+00    4.0872700000e+05    1.0539871546e+00    9.9350805595e-01
        44   -4.6523594691e+01    2.1650308118e+03   -6.5715848796e+01    1.9192254105e+01    3.0150347737e+01   -1.0405095118e+02    8.1847546485e+00    4.1162300000e+05    1.0492907079e+00    9.9354193464e-01
        45   -4.6518444024e+01    2.1645601527e+03   -6.5746762474e+01    1.9228318450e+01    3.0174863254e+01   -1.0413409304e+02    8.2124673070e+00    4.1426600000e+05    1.0605678225e+00    9.9346568097e-01
        46   -4.6517929231e+01    2.1644916338e+03   -6.5690052141e+01    1.9172122909e+01    3.0189209954e+01   -1.0413038138e+02    8.2511192864e+00    4.1013100000e+05    1.0641500095e+00    9.9350779326e-01
        47   -4.6524577961e+01    2.1651080785e+03   -6.5756684586e+01    1.9232106625e+01    3.0154474297e+01   -1.0410859056e+02    8.1974316757e+00    4.0515600000e+05    1.0392498045e+00    9.9358153531e-01
        48   -4.6525111315e+01    2.1651299920e+03   -6.5694052283e+01    1.9168940967e+01    3.0116574470e+01   -1.0399583298e+02    8.1852062266e+00    4.0535300000e+05    1.0535806886e+00    9.9347982444e-01
