#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -4.6520748286e+01    2.1647703775e+03   -6.5762637371e+01    1.9241889085e+01    3.0178176232e+01   -1.0424521134e+02    8.3043977346e+00    4.0951600000e+05    1.1094077843e+00    9.9348360400e-01
         1   -4.6514700440e+01    2.1641947190e+03   -6.5738603720e+01    1.9223903281e+01    3.0188024954e+01   -1.0411521444e+02    8.1885857666e+00    4.0956300000e+05    1.1629837843e+00    9.9347505261e-01
         2   -4.6524126333e+01    2.1651053685e+03   -6.5704785708e+01    1.9180659375e+01    3.0173942065e+01   -1.0419827387e+02    8.3195461008e+00    4.0638900000e+05    1.0899477776e+00    9.9346507807e-01
         3   -4.6524038281e+01    2.1650544341e+03   -6.5649914688e+01    1.9125876407e+01    3.0102387514e+01   -1.0394839709e+02    8.1960948839e+00    4.0529600000e+05    1.0484522686e+00    9.9355449396e-01
         4   -4.6527376020e+01    2.1653779357e+03   -6.5653440344e+01    1.9126064324e+01    3.0135160610e+01   -1.0404918084e+02    8.2605798819e+00    4.0452200000e+05    1.0482812327e+00    9.9345555037e-01
         5   -4.6520127900e+01    2.1646842260e+03   -6.5690146878e+01    1.9170018977e+01    3.0145720595e+01   -1.0404146724e+02    8.2055997653e+00    4.0660300000e+05    2.2865620838e+00    9.9344247990e-01
         6   -4.6519650041e+01    2.1646818981e+03   -6.5808682517e+01    1.9289032475e+01    3.0206796457e+01   -1.0420966075e+02    8.1941817813e+00    4.0704500000e+05    1.0916079462e+00    9.9346847038e-01
         7   -4.6518501475e+01    2.1645606730e+03   -6.5729560226e+01    1.9211058752e+01    3.0211326714e+01   -1.0411870983e+02    8.1778228857e+00    4.0397600000e+05    1.0475329722e+00    9.9353717515e-01
         8   -4.6518223271e+01    2.1645248208e+03   -6.5656933737e+01    1.9138710467e+01    3.0187765081e+01   -1.0401099897e+02    8.1663001517e+00    4.0384700000e+05    1.0621709688e+00    9.9360110518e-01
         9   -4.6523872978e+01    2.1650706636e+03   -6.5693023509e+01    1.9169150532e+01    3.0175264706e+01   -1.0402037569e+02    8.1520874740e+00    4.0772300000e+05    1.1152821104e+00    9.9337364742e-01
        10   -4.6523456662e+01    2.1650080331e+03   -6.5737776309e+01    1.9214319647e+01    3.0182326821e+01   -1.0404949290e+02    8.1293897716e+00    4.0542100000e+05    1.2668762764e+00    9.9358299175e-01
        11   -4.6515795310e+01    2.1643106291e+03   -6.5698047543e+01    1.9182252234e+01    3.0199589248e+01   -1.0418736766e+02    8.2897308656e+00    4.0444900000e+05    1.0536577956e+00    9.9342096646e-01
        12   -4.6522766603e+01    2.1649407032e+03   -6.5763708563e+01    1.9240941961e+01    3.0183192815e+01   -1.0420294468e+02    8.2560433031e+00    4.0942900000e+05    1.0854576248e+00    9.9353344545e-01
        13   -4.6524614125e+01    2.1651207114e+03   -6.5834860611e+01    1.9310246486e+01    3.0266516835e+01   -1.0440823322e+02    8.3068557699e+00    4.0828200000e+05    1.0548300042e+00    9.9342384559e-01
        14   -4.6520556669e+01    2.1647594536e+03   -6.5726995713e+01    1.9206439044e+01    3.0220730873e+01   -1.0418006887e+02    8.2323422817e+00    4.1077300000e+05    1.0625085673e+00    9.9339576771e-01
