# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -4.6508034100e+01    7.4940463043e-01    4.0910000000e+03    4.0940000000e+03    0.0000000000e+00   -4.6518604787e+01    9.9573237338e-01    9.9780166097e-01
         1   -4.6517408138e+01    4.9233473707e-01    4.0986179738e+03    4.0940000000e+03    1.8382352941e-02   -4.6263744342e+01    9.9553288719e-01    9.9804592086e-01
         2   -4.6520189864e+01    5.2965859801e-01    4.0960595989e+03    4.1020000000e+03    2.9411764706e-02   -4.6810162521e+01    9.9600406665e-01    9.9804973184e-01
         3   -4.6526569716e+01    4.9648228145e-01    4.0960629985e+03    4.0950000000e+03    1.4705882353e-02   -4.6471355778e+01    9.9575436514e-01    9.9975579976e-01
         4   -4.6536622095e+01    5.9616399368e-01    4.0960911412e+03    4.0970000000e+03    5.5147058824e-03   -4.6575391881e+01    9.9541847821e-01    9.9853551379e-01
         5   -4.6536369517e+01    6.8273023244e-01    4.0959610205e+03    4.0960000000e+03    1.1029411765e-02   -4.6536622095e+01    9.9524529418e-01    9.9975585938e-01
         6   -4.6524052440e+01    6.0535479912e-01    4.0957946949e+03    4.0980000000e+03    5.5147058824e-03   -4.6634001933e+01    9.9580217965e-01    9.9755978526e-01
         7   -4.6520708844e+01    5.6097011523e-01    4.0959512224e+03    4.0910000000e+03    1.8382352941e-02   -4.6279762682e+01    9.9562993832e-01    9.9951112198e-01
         8   -4.6518056080e+01    5.1919116055e-01    4.0959684424e+03    4.0950000000e+03    1.1029411765e-02   -4.6471874758e+01    9.9523896838e-01    9.9829059829e-01
         9   -4.6518812129e+01    5.4957660346e-01    4.0959759301e+03    4.0900000000e+03    1.2867647059e-02   -4.6224872544e+01    9.9567196211e-01    9.9902200489e-01
        10   -4.6519003124e+01    5.7439187879e-01    4.0959802719e+03    4.0930000000e+03    1.2867647059e-02   -4.6372274084e+01    9.9635512545e-01    9.9926704129e-01
        11   -4.6524640880e+01    6.4711815856e-01    4.0960357195e+03    4.0950000000e+03    9.1911764706e-03   -4.6470169038e+01    9.9467044089e-01    9.9902319902e-01
        12   -4.6516229930e+01    6.1164925539e-01    4.0958557649e+03    4.0970000000e+03    1.1029411765e-02   -4.6573463045e+01    9.9602190557e-01    9.9951183793e-01
        13   -4.6518610297e+01    7.3973568381e-01    4.0959425057e+03    4.0970000000e+03    3.6764705882e-03   -4.6565052096e+01    9.9582215034e-01    9.9877959483e-01
        14   -4.6519367049e+01    5.2361838645e-01    4.0959534662e+03    4.0950000000e+03    9.1911764706e-03   -4.6469776211e+01    9.9519156480e-01    9.9951159951e-01
        15   -4.6519110600e+01    5.0714357157e-01    4.0959566154e+03    4.0940000000e+03    3.6764705882e-03   -4.6421686950e+01    9.9577090116e-01    9.9926722032e-01
        16   -4.6512043122e+01    4.8564059527e-01    4.0958994974e+03    4.0960000000e+03    9.1911764706e-03   -4.6519110600e+01    9.9601273337e-01    9.9926757812e-01
